Mouse_ID,Transect,State,Address,Latitude,Longitude,Capture,Dissection,Sex,Status,Species,Year,Ectoparasites,Body_weight,Body_length,Tail_length,Spleen_mass,Left_Testis_mass,Right_Testis_mass,epididymis weight,Seminal.vesicle.weight,Embryo_left,Embryo_right,Feces_weight,ASP,SYP,HET,MART,CP,HD,HM,MM,TM
AA_0524,HZ_BR,Germany,"Brodowiner Dorfstr. 88, 16230",52.9148,13.9621,11/09/18,12/09/18,female,adult,Mus musculus,2018,TRUE,23.61,86,74,0.09,NA,NA,NA,NA,NA,NA,1.1,10,1,0,0,0,0,0,0,0
AA_0525,HZ_BR,Germany,"Brodowiner Dorfstr. 88, 16230",52.9148,13.9621,11/09/18,12/09/18,male,adult,Mus musculus,2018,TRUE,15.39,72,73,0.07,NA,NA,NA,NA,NA,NA,0.34,29,13,0,0,0,0,0,0,0
AA_0526,HZ_BR,Germany,"Brodowiner Dorfstr. 1, 16230",52.9148,13.9624,11/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,17.16,82,75,0.0326,0.0734,0.0752,0.0206,0.1088,NA,NA,0.97,8,0,10,0,0,0,0,0,0
AA_0527,HZ_BR,Germany,"Pelitz 3, 16230",52.9093,13.9932,11/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,11.82,73,73,0.0179,0.0441,0.0438,0.0141,0.1061,NA,NA,0.7,16,0,0,0,0,0,0,0,0
AA_0528,HZ_BR,Germany,"Ribbecker Dorfstr. 8, 14641",53.0332,13.2567,12/09/18,13/09/18,female,adult,Mus musculus,2018,FALSE,15.26,78,84.5,0.0342,NA,NA,NA,NA,NA,NA,0.28,0,0,0,0,0,0,0,0,0
AA_0529,HZ_BR,Germany,"Ribbecker Dorfstr. 8, 14641",53.0332,13.2567,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,13.11,75,81.2,0.0173,0.0491,0.0533,0.0133,0.0739,NA,NA,0.17,0,0,0,0,0,0,0,0,0
AA_0530,HZ_BR,Germany,"Wedefelder weg 13, 16775",53.0219,13.1750,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,11.52,71.5,79,0.0082,0.0663,0.0689,0.0186,0.1483,NA,NA,0.45,0,0,0,0,0,0,0,0,0
AA_0531,HZ_BR,Germany,"Wedefelder weg 13, 16775",53.0219,13.1750,12/09/18,13/09/18,female,pregnant,Mus musculus,2018,FALSE,20.52,88,85,0.0701,NA,NA,NA,NA,2,3,0.13,0,0,0,0,0,0,0,0,0
AA_0532,HZ_BR,Germany,"Wedefelder weg 13, 16775",53.0219,13.1750,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,15.62,78,82,0.0182,0.0805,0.0766,0.0242,0.1448,NA,NA,0.23,0,0,0,0,0,0,0,0,0
AA_0533,HZ_BR,Germany,"Bergsdorfestr. 6, 16775",52.9576,13.2821,12/09/18,13/09/18,female,adult,Mus musculus,2018,FALSE,20.41,90,93,0.0339,NA,NA,NA,NA,NA,NA,0.32,0,0,0,0,0,0,0,0,0
AA_0534,HZ_BR,Germany,"Bergsdorfestr. 6, 16775",52.9576,13.2821,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,21.02,82,89.5,0.0377,0.079,0.0812,0.0592,0.1407,NA,NA,0.36,0,0,0,0,0,0,0,0,0
AA_0535,HZ_BR,Germany,"Bergsdorfestr. 6, 16775",52.9576,13.2821,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,16.83,79,84,0.0187,0.0854,0.0818,0.0262,0.1576,NA,NA,0.26,0,0,0,0,0,0,0,0,0
AA_0536,HZ_BR,Germany,"Bergsdorfestr. 6, 16775",52.9576,13.2821,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,13.85,78,82,0.0243,0.0755,0.0753,0.0252,0.2082,NA,NA,0.11,0,0,0,0,0,0,0,0,0
AA_0537,HZ_BR,Germany,"Alter Dechtowerweg 2, 16833",52.7949,12.7802,12/09/18,13/09/18,male,adult,Mus musculus,2018,FALSE,17.93,80,NA,0.0374,0.082,0.0825,0.0361,0.1367,NA,NA,0.35,0,0,33,0,0,0,0,0,82
AA_0538,HZ_BR,Germany,"Alter Dechtowerweg 2, 16833",52.7949,12.7802,,,female,pregnant,Mus musculus,2018,FALSE,21.5,79,77,0.0472,NA,NA,NA,NA,3,2,0.68,0,0,1,0,0,0,0,10,151
