Mouse_ID,Address,Address_ZIP,Latitude,Longitude,Trap_Date,Dissection_Date,Sex,Status,Body_Weight,Body_Length,Tail_Length,Spleen,Feces_Weight,Dead_in_Cage,Worms_presence,Left_Embryo,Right_Embryo,Ectoparasites_Logical,Fleas,Ticks,Note
AA_0958,"Zehdenicker Str. 11, Joachimstal",,52.97852,13.733054,20/09/2022,22/09/2022,M,adult,12.16,80,70,0.035,,,TRUE,,,FALSE,FALSE,,
AA_0959,Königlich Reetz 14,,52.7747,14.1525,20/09/2022,22/09/2022,M,young,9.9,71,74,0.027,,,NA,,,,,,"no cowe, colon wall ended up somewhere else!"
AA_0960,Königlich Reetz 14,,52.7747,14.1525,20/09/2022,22/09/2022,F,adult,14.99,83,77,0.018,,,NA,,,,,,
AA_0961,Königlich Reetz 14,,52.7747,14.1525,20/09/2022,22/09/2022,F,adult,13.67,81,73,0.043,,,TRUE,,,,,,ileum haemorrhagic
AA_0962,Königlich Reetz 14,,52.7747,14.1525,20/09/2022,22/09/2022,F,adult,14.38,88,77,0.018,,,,,,,,,
AA_0963,Chausseestr. Altglietzen,,52.8371,14.0849,20/09/2022,22/09/2022,,,,,,,,TRUE,,,,,,,
AA_0964,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,adult,13.71,84,75,0.027,,,,,,,,,
AA_0965,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,adult,13.87,84,,,,,,,,,,,
AA_0966,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,adult,21.47,93,77,0.039,,,TRUE,,,,TRUE,,gave birth
AA_0967,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,,adult,17.31,83,67,0.0499,,,TRUE,,,,,,"worms in caecum, Mastophorus in Stomach"
AA_0968,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,adult,17.61,80,63,0.072,,,,,,,,,
AA_0969,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,M,young,12.14,78,73,0.0682,,,,,,,TRUE,,
AA_0970,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,adult,17.57,90,73,0.00322,,,TRUE,,,,,,worms in caecum
AA_0971,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,M,adult,19.19,89,83,0.03694,,,,,,,TRUE,,
AA_0972,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,M,adult,15.18,79,73,0.02304,,,,,,,,,
AA_0973,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,F,pregnant,21.68,92,80,0.0356,,,,,,,,,
AA_0974,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,M,adult,14.87,89,69,0.02855,,,FALSE,,,,,,
AA_0975,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,20/09/2022,22/09/2022,M,young,13.78,89,80,0.03108,,,,,,,TRUE,,
AA_0976,"Zehdenicker Str. 8, Joachimstal",,52.978408,13.733637,21/09/2022,22/09/2022,M,adult,13.52,85,70,0.03796,,,FALSE,,,,,,
AA_0977,"Zehdenicker Str. 11, Joachimstal",,52.97852,13.733054,20/09/2022,22/09/2022,F,adult,13.79,87,69,0.052,,,TRUE,,,,TRUE,,no caecum content due to worms!
AA_0978,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,22/09/2022,F,pregnant,13.33,74,74,0.07355,,,,4,1,,,,
AA_0979,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,22/09/2022,F,adult,21.45,89,78,0.075,,,,,,,,,gave birth
AA_0980,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,22/09/2022,F,adult,15.45,89,79,0.071,,,TRUE,,,,,,
AA_0981,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,22/09/2022,F,pregnant,16.28,98,79,0.0425,,,,4,1,,,,
AA_0982,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,23/09/2022,F,pregnant,22.52,88,78,0.0853,,,FALSE,,,,,,
AA_0983,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,23/09/2022,F,adult,10.94,70,64,0.02733,,,,,,,,,
AA_0984,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,23/09/2022,M,adult,12.28,72,64,0.0424,,,,,,,,,
AA_0985,Alt-Gielsdorf 67,,52.6053,13.8756,20/09/2022,22/09/2022,,,,,,,,TRUE,,,,,,,
AA_0986,Bergschorfer Str. 1,,52.9572,13.2835,20/09/2022,23/09/2022,F,adult,12.4,75,65,0.0271,,,FALSE,,,,,,
AA_0987,Bergschorfer Str. 1,,52.9572,13.2835,20/09/2022,23/09/2022,M,adult,16.86,80,82,0.0406,,,,,,,TRUE,,
AA_0988,Bergschorfer Str. 1,,52.9572,13.2835,20/09/2022,23/09/2022,M,adult,,,,,,TRUE,,,,,,,
AA_0989,Bergschorfer Str. 1,,52.9572,13.2835,20/09/2022,23/09/2022,M,young,8.65,63,70,0.0107,,,,,,,,,
AA_0990,Bradinger Str. 21/22,,52.9716,13.2767,20/09/2022,23/09/2022,M,adult,15.09,82,81,0.0217,,,,,,,TRUE,,
AA_0991,Karl-Liebknecht-Str. 36C,,52.858474,13.955803,21/09/2022,23/09/2022,F,adult,10.82,70,62,0.0162,,,,,,,TRUE,,
AA_0992,Karl-Liebknecht-Str. 36C,,52.858474,13.955803,21/09/2022,23/09/2022,M,adult,12.65,72,63,0.0209,,,,,,,,,
AA_0993,Neuendorf 31,,52.887936,14.06121,21/09/2022,23/09/2022,F,adult,14.16,72,65,0.043,,,FALSE,,,,TRUE,,
AA_0994,Kerstenbruch 10,,52.7383,14.2625,21/09/2022,23/09/2022,M,adult,16.67,83,74,0.0123,,,,,,,,,
AA_0995,Münchenhofer Str. 1,,52.4978,13.6761,21/09/2022,23/09/2022,M,adult,19.75,84,86,0.0876,,,,,,,,,
AA_0996,Langer Landweg,,52.6179,13.8776,21/09/2022,23/09/2022,M,adult,13.55,75,65,0.0143,,,,,,,,,
AA_0997,Bunzelweg 9,,52.47347,13.69029,21/09/2022,23/09/2022,F,pregnant,18.94,83,76,0.0749,,,,2,4,,,,
AA_0998,Bunzelweg 9,,52.47347,13.69029,21/09/2022,23/09/2022,M,adult,16.33,78,79,0.0231,,,,,,,,,
AA_0999,Bunzelweg 9,,52.47347,13.69029,21/09/2022,23/09/2022,F,pregnant,16.32,80,81,0.023,,,,3,5,,,,
AA_1000,Bunzelweg 9,,52.47347,13.69029,21/09/2022,23/09/2022,F,young,10.35,71,69,0.021,,,,,,,,,
AA_1001,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,20.47,88,84,0.1447,,,,,,,,,
AA_1002,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,19.46,79,81,0.0704,,,,,,,,,
AA_1003,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,20.6,87,68,0.0485,,,,,,,,,
AA_1004,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,17.72,81,77,0.0402,,,,,,,,,
AA_1005,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,,,,,,,,TRUE,,,,,,,
AA_1006,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,19.38,84,88,0.0613,,,,,,,,,
AA_1007,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,18.16,81,79,0.0771,,,,,,,,,
AA_1008,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,young,8.22,57,71,0.0208,,,,,,,,,
AA_1009,Danewitzer Weg 2,DANE2,52.737079,13.659532,22/09/2022,23/09/2022,F,adult,25.51,90,93,0.1495,,,TRUE,,,,TRUE,,"Mastophorus in Stomach (1.5 g), Tapeworm, Pinworm"
AA_1010,Wriezener Str.1,,52.7636,14.1628,23/09/2022,24/09/2022,M,adult,13.16,73,61,0.0458,,,,,,,,,
AA_1011,Wriezener Str.1,,52.7636,14.1628,23/09/2022,24/09/2022,M,adult ,9.55,78,58,0.0325,,,TRUE,,,,,,
AA_1012,Wriezener Str.1,,52.7636,14.1628,23/09/2022,24/09/2022,F,adult,11.64,71,61,0.0254,,,TRUE,,,,TRUE,,
AA_1013,Wriezener Str.1,,52.7636,14.1628,23/09/2022,24/09/2022,F,pregnant,15.64,76,68,0.0915,,,,4,1,,TRUE,,
AA_1014,Wriezener Str.1,,52.7636,14.1628,23/09/2022,24/09/2022,F,adult,12.93,72,69,0.0487,,,TRUE,,,,,,
AA_1015,Schönbeckstr. 21,,52.9758,13.7317,23/09/2022,24/09/2022,M,adult,13.59,73,60,0.0306,,,TRUE,,,,,,
AA_1016,Schönbeckstr. 21,,52.9758,13.7317,23/09/2022,24/09/2022,F,adult,14.04,76,60,0.0575,,,,,,,,,
AA_1017,Schönbeckstr. 21,,52.9758,13.7317,23/09/2022,24/09/2022,F,adult,13.86,76,60,0.0225,,,TRUE,,,,,,
AA_1018,Gielsdorf 2 (Am Rötseetn Str. 2),,52.6061,13.87714,22/09/2022,23/09/2022,F,adult,21.5,92,80,0.1179,,,TRUE,,,,,,
AA_1020,Walther Ratenau Str. 12,,52.384046,13.76054,24/09/2022,25/09/2022,F,young,5.72,51,68,0.0067,,,,,,,,,
AA_1021,Walther Ratenau Str. 12,,52.387046,13.76054,24/09/2022,25/09/2022,F,adult,15.95,77,84,0.0466,,,,,,,TRUE,,
AA_1022,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,13.97,74,63,0.04,,,,,,,,,
AA_1023,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,19.05,82,70,0.0505,,,TRUE,,,,,,
AA_1024,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,M,adult,16.35,75,67,0.0736,,,,,,,,,
AA_1025,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,22.75,88,71,0.057,,,,2,6,,,,
AA_1026,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,11.41,62,69,0.0241,,,,,,,,,
AA_1027,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,14.84,78,62,0.0456,,,,,,,,,
AA_1028,Zehdenicker Str. 8C,,52.979407,13.73026,24/09/2022,25/09/2022,F,adult,12.26,70,66,0.0414,,,,,,,,,
AA_1030,Serwester Hühnerhof,,52.93356,13.93226,25/09/2022,26/09/2022,F,adult,12.5,81,61,0.043,,,,,,,,,
AA_1031,Serwester Hühnerhof,,52.93356,13.93226,25/09/2022,26/09/2022,F,adult,11.2,72,61,0.041,,,,,,,,,
