"","Team","Address","Latitude","Longitude","Date_set","Time_set","Number_traps_set","Date_collect","Time_collect","Number_rodents_caught","Number_mus_caught","People","Is_mus_caught"
"1","B","Bahnhofstraße 21, 16321 Rüdnitz",52.7169444,13.64,"09/09/17","11:30:00",14,"10/09/17","11:30:00",0,0,"Alice, Yasmin, Saskia, Anna",FALSE
"2","B","Dorfstraße 22, 16359 Biesenthal",52.7338889,13.6663889,"09/09/17","12:22:00",22,"10/09/17","11:51:00",1,1,"Alice, Yasmin, Saskia, Anna",TRUE
"3","B","Kastanienstraße 8, 16230 Sydower Fließ",52.7111111,13.7222222,"09/09/17","13:00:00",12,"10/09/17","12:35:00",0,0,"Alice, Yasmin, Saskia, Anna",FALSE
"4","B","Mittelstraße 4, 15345 Altlandsberg",52.585905,13.789633,"09/09/17","15:30:00",16,"10/09/17","12:30:00",2,0,"Alice, Yasmin, Saskia, Anna",FALSE
"5","B","Ihlower Weg, 15345 Prötzel",52.628465,14.016871,"09/09/17","17:00:00",26,"10/09/17","13:30:00",0,0,"Alice, Yasmin, Saskia, Anna",FALSE
"6","B","Spitzmühler Str. 4, 15345 Altlandsberg",52.5844,13.7881,"09/09/17","15:00:00",35,"10/09/17","12:10:00",1,0,"Alice, Yasmin, Saskia, Anna",FALSE
"7","C","Wriezener Str. 6, 16269 Wriezen",52.6703,14.0589,"10/09/17","13:00:00",14,"11/09/17","11:15:00",1,0,"Yasmin, Tabea, Julia, Nico, Sabrina",FALSE
"8","C","Kastanienweg 7, 15345 Prötzel",52.6242788,14.0101667,"10/09/17","16:00:00",9,"11/09/17","11:40:00",2,1,"Yasmin, Tabea, Julia, Nico, Sabrina",TRUE
"9","C","Pflasterstraße 8, 16269 Wriezen",52.6788854,14.0506342,"10/09/17","15:10:00",7,"11/09/17","10:30:00",0,0,"Yasmin, Tabea, Julia, Nico, Sabrina",FALSE
"10","C","An den Eiskuten 8, 15479 Mittenwalde / Schenkendorf",52.2747,13.595,"10/09/17","11:45:00",26,"11/09/17","14:30:00",1,1,"Mona, Mert, Jenny",TRUE
"11","E","Marienhof 5, 15741 Bestensee",52.2458,13.5994,"10/09/17","14:45:00",24,"11/09/17","10:30:00",6,6,"Mona, Mert, Jenny",TRUE
"12","E","Unter den Eichen 6, 15741 Bestensee",52.2225,13.6025,"10/09/17","15:25:00",18,"11/09/17","12:00:00",13,13,"Mona, Mert, Jenny",TRUE
"13","E","Rudolf-Mosse-Weg 1, 15749 Mittenwalde",52.282821,13.592877,"10/09/17","12:45:00",25,"11/09/17","13:30:00",0,0,"Mona, Mert, Jenny",FALSE
"14","E","Wilhelm-Pieck-Straße 7, 15749 Mittenwalde",52.300778,13.500478,"10/09/17","17:30:00",25,"11/09/17","16:00:00",0,0,"Mona, Mert, Jenny",FALSE
"15","A","Forst Joachimsthal 3, 16247 Joachimsthal",52.994574,13.684043,"10/09/17","18:00:00",16,"11/09/17","10:00:00",1,0,"Sükrü, Erik, Anna",FALSE
"16","B","Kirchstraße 2, 16230 Britz",52.8875,13.8119,"10/09/17","16:00:00",18,"11/09/17","16:00:00",1,1,"Svea, Emanuel",TRUE
"17","B","Pehlitz 3, 16230 Chorin",52.90938,13.99355,"10/09/17","17:20:00",22,"11/09/17","13:40:00",0,0,"Svea, Emanuel",FALSE
"18","A","Am Fährkrug 6, 16259 Bad Freienwalde (Oder)",52.807371,14.036795,"10/09/17","12:30:00",16,"11/09/17","12:30:00",1,1,"Lina, Lukas, Sven, Saskia",TRUE
"19","D","Wiesenstraße 5, 15537 Erkner",52.3989,13.7581,"10/09/17","12:10:00",13,"11/09/17","12:30:00",1,1,"Robin, Cem, Alice",TRUE
"20","D","Walther-Rathenau-Straße 14, 15537 Gosen-Neu Zittau",52.384336,13.7602333,"10/09/17","13:00:00",19,"11/09/17","12:30:00",1,1,"Robin, Cem, Alice",TRUE
"21","D","Steinhöfeler Str. 8, 15518 Steinhöfel",52.420765,14.117282,"10/09/17","15:00:00",12,"11/09/17","??",0,0,"Robin, Cem, Alice",FALSE
"22","B","Oderberger Str. 8, 16248 Parsteinsee",52.9319,14.03709,"10/09/17","17:30:00",25,"11/09/17","13:30:00",0,0,"Svea, Emanuel",FALSE
"23","B","Karl-Liebknecht-Straße 4, 16248 Liepe",52.860644,13.967085,"10/09/17","19:00:00",29,"11/09/17","17:00:00",0,0,"Svea, Emanuel",FALSE
"24","B","Brodowiner Dorfstraße 14, 16230 Chorin",52.910851,13.963747,"10/09/17","17:00:00",11,"11/09/17","14:00:00",0,0,"Svea, Emanuel",FALSE
"25","B","Hauptstraße 26, 16356 Werneuchen",52.683539,13.733388,"10/09/17","??",8,"11/09/17","??",0,0,"Svea, Emanuel",FALSE
