<<<<<<< HEAD
"Mouse_ID","delta_ct_cewe_MminusE","delta_ct_ilwe_MminusE","observer_qpcr","Year"
"AA_0237",-4.82,NA,"Lorenzo",2017
"AA_0243",-2.375,NA,"Lorenzo",2017
"AA_0244",-2.6,8.65,"Lorenzo",2017
"AA_0245",-1.75,3.7,"Lorenzo",2017
"AA_0246",NA,10.73,"Lorenzo",2017
"AA_0247",NA,8.97,"Lorenzo",2017
"AA_0248",NA,9.47,"Lorenzo",2017
"AA_0249",NA,6.6,"Lorenzo",2017
"AA_0250",-5.87,8.97,"Lorenzo",2017
"AA_0255",-5.57,NA,"Lorenzo",2017
"AA_0257",-1.61,NA,"Lorenzo",2017
"AA_0259",-4.55,NA,"Lorenzo",2017
"AA_0261",-4.21,NA,"Lorenzo",2017
"AA_0296",-3.435,NA,"Lorenzo",2017
"AA_0298",-4.73,NA,"Lorenzo",2017
"AA_0301",-0.360000000000001,NA,"Lorenzo",2017
"AA_0303",-2.07,NA,"Lorenzo",2017
"AA_0309",NA,2.54,"Lorenzo",2017
"AA_0314",-2.82,NA,"Lorenzo",2017
"AA_0316",-3.06,NA,"Lorenzo",2017
"AA_0323",2.61,NA,"Lorenzo",2017
"AA_0343",-3.58,NA,"Lorenzo",2017
"AA_0348",-4.945,NA,"Lorenzo",2017
"AA_0351",-3.35,NA,"Lorenzo",2017
"AA_0352",NA,-5.96,"Lorenzo",2017
"AA_0366",NA,-4.9,"Lorenzo",2017
"AA_0368",-1.12,NA,"Lorenzo",2017
"AA_0373",-5.15,NA,"Lorenzo",2017
"AA_0390",-2.25,NA,"Lorenzo",2017
"AA_0393",1.35,NA,"Lorenzo",2017
"AA_0396",-4.79,NA,"Lorenzo",2017
"AA_0397",-2.355,NA,"Lorenzo",2017
"AA_0406",-0.959999999999997,NA,"Lorenzo",2017
"AA_0413",-2.85,NA,"Lorenzo",2017
"AA_0423",3.01,NA,"Lorenzo",2017
"AA_0424",4.76,NA,"Lorenzo",2017
"AA_0425",0.44,NA,"Lorenzo",2017
"AA_0427",0.83,NA,"Lorenzo",2017
"AA_0428",-1.13,NA,"Lorenzo",2017
"AA_0429",3.77,NA,"Lorenzo",2017
"AA_0430",-4.9,NA,"Lorenzo",2017
"AA_0431",-1.86,NA,"Lorenzo",2017
"AA_0432",4.01,NA,"Lorenzo",2017
"AA_0434",0.25,NA,"Lorenzo",2017
"AA_0435",1.5,NA,"Lorenzo",2017
"AA_0436",-1.175,-2.64,"Lorenzo",2017
"AA_0441",-5.68,NA,"Lorenzo",2017
"AA_0445",-3.17,NA,"Lorenzo",2017
"AA_0446",-3.53,NA,"Lorenzo",2017
"AA_0451",NA,5.02,"Lorenzo",2017
"AA_0452",-3.22,NA,"Lorenzo",2017
"AA_0454",1.33,NA,"Lorenzo",2017
"AA_0455",NA,-5.19,"Lorenzo",2017
"AA_0458",0.350000000000001,NA,"Lorenzo",2017
"AA_0465",-2.84,NA,"Lorenzo",2017
"AA_0469",-5,-5.54,"Lorenzo",2017
"AA_0497",-0.18,-3.64,"Lorenzo",2017
=======
"Mouse_ID","delta_ct_cewe","delta_ct_ilwe","observer_qpcr"
"AA_0237",3.69,NA,"Lorenzo"
"AA_0237",5.95,NA,"Lorenzo"
"AA_0237",3.69,NA,"Lorenzo"
"AA_0237",5.95,NA,"Lorenzo"
"AA_0238",9.55,NA,"Lorenzo"
"AA_0238",11.59,NA,"Lorenzo"
"AA_0238",9.55,NA,"Lorenzo"
"AA_0238",11.59,NA,"Lorenzo"
"AA_0239",6.92,11.98,"Lorenzo"
"AA_0239",6.92,11.98,"Lorenzo"
"AA_0239",6.92,11.98,"Lorenzo"
"AA_0239",9.93,11.98,"Lorenzo"
"AA_0239",9.93,11.98,"Lorenzo"
"AA_0239",9.93,11.98,"Lorenzo"
"AA_0240",10.66,11.39,"Lorenzo"
"AA_0240",10.66,10.16,"Lorenzo"
"AA_0240",10.66,11.39,"Lorenzo"
"AA_0240",10.66,10.16,"Lorenzo"
"AA_0240",10.66,11.39,"Lorenzo"
"AA_0240",10.66,10.16,"Lorenzo"
"AA_0242",NA,10.56,"Lorenzo"
"AA_0243",5.79,8.92,"Lorenzo"
"AA_0243",5.79,8.92,"Lorenzo"
"AA_0244",NA,11.41,"Lorenzo"
"AA_0247",NA,10.28,"Lorenzo"
"AA_0248",6.88,11.35,"Lorenzo"
"AA_0248",6.88,11.35,"Lorenzo"
"AA_0249",9.83,NA,"Lorenzo"
"AA_0250",NA,10.02,"Lorenzo"
"AA_0251",NA,11.12,"Lorenzo"
"AA_0252",NA,11.03,"Lorenzo"
"AA_0255",NA,13.31,"Lorenzo"
"AA_0256",9.62,NA,"Lorenzo"
"AA_0257",NA,11.13,"Lorenzo"
"AA_0258",NA,11.15,"Lorenzo"
"AA_0260",7.17,12.09,"Lorenzo"
"AA_0260",7.17,12.09,"Lorenzo"
"AA_0261",4.21,10.55,"Lorenzo"
"AA_0261",4.21,10.55,"Lorenzo"
"AA_0262",12.03,10.63,"Lorenzo"
"AA_0262",12.03,10.63,"Lorenzo"
"AA_0263",NA,10.96,"Lorenzo"
"AA_0264",12.19,9.77,"Lorenzo"
"AA_0264",12.19,9.77,"Lorenzo"
"AA_0265",NA,11.04,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0267",13.1,12.47,"Lorenzo"
"AA_0268",7.48,12.38,"Lorenzo"
"AA_0268",7.48,12.38,"Lorenzo"
"AA_0270",12.53,NA,"Lorenzo"
"AA_0270",12.53,NA,"Lorenzo"
"AA_0270",12.53,NA,"Lorenzo"
"AA_0270",12.53,NA,"Lorenzo"
"AA_0271",12.26,14.21,"Lorenzo"
"AA_0271",12.26,14.21,"Lorenzo"
"AA_0272",13.64,13.8,"Lorenzo"
"AA_0272",13.64,13.8,"Lorenzo"
"AA_0274",NA,15.48,"Lorenzo"
"AA_0275",14.61,12.02,"Lorenzo"
"AA_0275",14.61,12.02,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0276",13.23,14.68,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,12.64,"Lorenzo"
"AA_0276",13.23,11.6,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
"AA_0276",11.06,11.6,"Lorenzo"
"AA_0276",11.06,14.68,"Lorenzo"
"AA_0276",11.06,12.64,"Lorenzo"
